"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C5, C6, C19";"C_0805_2012Metric";4;"10u";;;
2;"C2, C8, C11, C12, C13, C14, C15, C16, C17, C18, C20, C21";"C_0402_1005Metric";12;"100n";;;
3;"C3, C4";"C_0402_1005Metric";2;"15p";;;
4;"C10";"C_0402_1005Metric";1;"4.7u";;;
5;"J1";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
6;"R1, R9";"R_0402_1005Metric";2;"DNF";;;
7;"R2, R4, R6";"R_0402_1005Metric";3;"1k";;;
8;"R3, R5";"R_0402_1005Metric";2;"5.1k";;;
9;"R7, R8";"R_0402_1005Metric";2;"27";;;
10;"R10";"R_0402_1005Metric";1;"0";;;
11;"SW1, SW2";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";2;"SW_Push";;;
12;"U1";"RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_80QFN";;;
13;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
14;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
15;"U4";"SOT-223-3_TabPin2";1;"TLV76150DCY";;;
16;"U5, U6, U7, U8";"TSSOP-20_4.4x6.5mm_P0.65mm";4;"LSF0108PW";;;
17;"U10";"DSL_Cartridge_Reader";1;"CartBus";;;
18;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
